strategy,lap,lap_time_s,improvement_s,soc_end,deployed_j
conservative,1,81.6173398319735,0.10079999999999245,0.5954161969332423,4835585.682000451
conservative,2,81.71813983197349,0.0,0.5972323938664857,8639171.364000898
conservative,3,81.71813983197349,0.0,0.5990485907997293,12442757.046001306
conservative,4,81.71813983197349,0.0,0.5960647877329728,16270342.728001714
conservative,5,81.71813983197349,0.0,0.5978809846662162,20073928.410002287
aggressive,1,81.5741398319735,0.14399999999999125,0.76253333333333,4000000.0000000144
aggressive,2,81.5741398319735,0.14399999999999125,0.7250666666666599,8000000.000000033
aggressive,3,81.5741398319735,0.14399999999999125,0.6875999999999898,12000000.00000002
aggressive,4,81.5741398319735,0.14399999999999125,0.6501333333333197,16000000.000000007
aggressive,5,81.5741398319735,0.14399999999999125,0.6126666666666496,20000000.000000104
lookahead,1,81.60846763533475,0.10967219663874062,0.30971117014084376,4489686.725324406
lookahead,2,81.60846763533475,0.10967219663874062,0.17430715840929525,8979373.450648798
lookahead,3,81.6348026107042,0.08333722126928933,0.11959471903828658,13065602.314170469
lookahead,4,81.6636026107042,0.054537221269285396,0.11781200939700756,16887182.529043492
lookahead,5,81.6636026107042,0.054537221269285396,0.1160292997557286,20708762.743916597
